CPB/ROE,Título,Dias em exibição,Semanas em exibição,Sessões,Salas,Complexos,Grupos exibidores,Exibidores,Municípios,UFs,Máx. salas,Fontes,Última sessão registrada,ClassInd,Comentários,Ano de estreia,Estreia,Bilheteria,Público,Distribuidora,Ocupação Média,P.M.I.
E2400016700000,Demon Slayer: Kimetsu no Yaiba - To The Hashira Training,42,5,16946,583,515,43,150,277,27,1156,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),10/1/2025,16,,2024,2/22/2024,5430989.86,394135,Sony Pictures,23.25829104,13.77951682
E2200354500000,One Piece: Film Red,56,9,15635,504,551,51,173,305,27,1278,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),12/28/2022,12,,2022,11/3/2022,6452119.95,369766,Diamond Films,23.64988807,17.44919747
E1500387600000,Dragon Ball Z: O Renascimento De Freeza,7,13,4751,341,322,35,107,163,27,574,Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB,2/27/2019,L,"Fonte ClassInd: Jornal Folha de SP - Ilustrada, pág. 59, 18 jun. 2015",2015,6/18/2015,4103658,345914,Fox,72.80867186,11.8632319
E2200253600000,Dragon Ball Super: Super Hero,65,12,34093,1017,650,57,235,374,27,1772,Ancine - Painel OCA // Ancine - dados.gov.br,12/7/2023,12,,2021,11/20/2021,5744467.62,342169,Sony Pictures,10.03634177,16.78839293
E2200065700000,Jujutsu Kaisen 0,63,12,13864,628,442,44,124,222,27,993,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),11/24/2025,14,,2022,4/28/2022,4902546.86,271523,Sony Pictures,19.58475188,18.05573325
X08,Yu-Gi-Oh! O Filme,,,,,,,,,,102,Database Brasil - FilmeB,,,,2004,3/9/2004,1521905,254447,,,5.981225953
X10,"Pokémon 4: Viajantes do Tempo - Celebi, A Voz da Floresta",,,,,,,,,,150,Database Brasil - FilmeB,,,,2005,7/8/2005,1530960,253426,,,6.041053404
X01,Akira,,,,,,,,,,,,,14,"Fonte Estreia: https://x.com/MossmannMatheus/status/1523738636818477057 // Fonte Bilheteria: Entrevista com Nelson Sato no livro 'Guia Visual Definitivo – O Fantástico Jaspion' (screenshot em https://twitter.com/arara_/status/1739786390819262936) // Fonte ClassInd: capa do DVD ""Akira - Edição Especial 20 Anos"", Focus Filmes",1991,9/8/1991,,250000,Sato Company,,
E2500357500000,Chainsaw Man: Arco da Reze,41,,20658,,668,56,224,383,27,1391,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br,12/28/2025,18,,2025,10/20/2025,4876287.32,247104,Sony Pictures,11.96166134,19.73374498
E2300055900000,Demon Slayer: Kimetsu no Yaiba - To The Swordsmith Village,47,4,6203,491,373,36,96,186,27,720,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),3/13/2024,16,,2023,3/30/2023,3170677.74,155930,Cinecolor,25.13783653,20.33398153
X04,Final Fantasy: The Spirits Within,,,,,,,,,,,Database Brasil - FilmeB,,,Nota: público apenas no fim de semana de estreia,2001,2/7/2001,,143010,Columbia Pictures,,
E2400160000000,Haikyu!!: The Dumpster Battle,29,5,3834,195,165,24,58,102,27,351,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),7/20/2024,12,,2024,5/30/2024,2153185.16,116149,Sony Pictures,30.29447053,18.53812913
E2400345200000,O Castelo Animado,,,,,,4,12,33,16,112,Database Brasil - FilmeB,2/28/2026,L,,2005,8/5/2005,835541.72,109761,,,7.61237343
E2100140400000,Demon Slayer: Kimetsu no Yaiba - Mugen Train,84,10,7797,270,312,33,82,158,25,723,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),11/1/2025,14,,2021,5/13/2021,1499746.54,89583,Cinecolor,11.48941901,16.74141902
E2400015400000,Spy x Family - Código: Branco,31,6,6922,522,355,27,73,155,27,652,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),7/24/2024,14,,2024,4/25/2024,1595688.33,80801,Sony Pictures,11.67307137,19.74837353
X12,Os Cavaleiros do Zodíaco - Prólogo do Céu,,,,,,,,,,72,Database Brasil - FilmeB,,,,2006,2/11/2006,533847,78010,,,6.84331496
E1500281700000,The Last Naruto: O Filme,,7,2087,2,167,24,54,75,24,266,Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB,7/4/2015,10,,2015,5/28/2015,807843,69071,PlayArte,33.09583134,11.69583472
E2400380200000,O Senhor dos Anéis: A Guerra dos Rohirrim,27,4,9436,597,486,46,135,233,27,785,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),1/1/2025,14,,2024,12/5/2024,1075091.22,53078,Warner,5.625052989,20.25493086
E2500007100000,Attack on Titan: O Último Ataque,33,,5180,,255,24,51,121,27,490,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br,4/2/2025,18,,2025,2/27/2025,1032526.71,50247,Sony Pictures,9.70019305,20.54902203
E2300084000000,Suzume,48,8,3783,274,207,32,65,111,25,371,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),12/26/2023,12,,2023,4/13/2023,963275.03,46430,Sony Pictures,12.27332805,20.74682382
E1600584200000,Ponyo: Uma Amizade que Veio do Mar,,,,30,,4,12,33,16,42,Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB,3/1/2026,L,,2010,7/30/2010,372534.02,43834,,,8.498745722
E1700491800000,Pokémon: O Filme - Eu Escolho Você!,,2,518,128,123,5,7,61,24,252,Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),11/15/2017,L,,2017,11/5/2017,716260.14,43813,Cinecolor,84.58108108,16.34811905
E2500003800000,Dragon Ball Daima: Especial,28,,4840,,398,42,106,211,27,500,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br,5/25/2025,10,,2025,2/6/2025,411652.68,41643,Paris Filmes,8.60392562,9.885279159
E1600638600000,O Mundo Encantado de Gigi,,,,45,,,,,,70,Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB,7/2/2014,L,,2010,12/25/2010,262573.44,35229,PlayArte,,7.453332198
E2300467700000,Digimon Adventure 02: The Beginning,24,5,6057,415,362,37,101,188,26,543,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),1/3/2024,12,,2023,11/30/2023,552350.63,30084,Paris Filmes,4.966815255,18.36027889
E2100529300000,My Hero Academia: Missão Mundial de Heróis,48,7,2892,52,109,15,24,52,21,272,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),3/9/2022,12,,2022,1/6/2022,554051.47,29932,Sony Pictures,10.34993084,18.5103391
E2400431500000,Solo Leveling: Segundo Despertar,21,3,1664,149,110,14,19,66,25,169,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),12/25/2024,18,,2024,12/5/2024,501466.07,23186,Sony Pictures,13.93389423,21.62796817
E1900399900000,My Hero Academia: Two Heroes,,,,,,,,,,105,Database Brasil - FilmeB,,12,Filme de Festival - Exibido no JFX Festival de Anime 2019,2019,8/8/2019,403687,23176,Sato Company,,17.41832068
E2400361600000,My Hero Academia: Agora é a Sua Vez,14,2,2966,225,199,22,40,97,27,257,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024),10/23/2024,12,,2024,10/10/2024,415885.01,22324,Sony Pictures,7.526635199,18.62950233
