CPB/ROE,Ano,Bilheteria total,Dias no ano,Sessões no ano,Máx. complexos,Máx. grupos exibidores,Máx. exibidores,Máx. municípios,Máx. UFs,Última sessão registrada,Público total,Semanas em exibição,Gênero,Países,Salas na estreia,Título,Estreia,Máx. salas,Público no ano,Bilheteria no ano,Distribuidora,Fontes
E2200127100000,2022,13899.0,2.0,22.0,11.0,1.0,1.0,8.0,6.0,2022-06-26,564.0,1.0,Animação,Japão,11.0,ODD TAXI: IN THE WOODS,2022-06-25,11.0,564.0,13899.0,Sony Pictures,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E2200253600000,2021,5744467.62,1.0,1.0,597.0,0.0,1.0,1.0,1.0,2021-11-20,334867.0,,,,,DRAGON BALL SUPER: SUPER HERO,2021-11-20,1018.0,10.0,168.0,,Ancine - Painel OCA // Ancine - dados.gov.br
E2200253600000,2022,5744467.62,62.0,34090.0,650.0,57.0,235.0,374.0,27.0,2022-10-29,342159.0,10.0,Animação,Japão,1017.0,DRAGON BALL SUPER: SUPER HERO,2022-08-18,1772.0,342014.0,5742849.62,Sony Pictures,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E2200253600000,2023,5744467.62,2.0,2.0,597.0,1.0,1.0,1.0,1.0,2023-12-07,342159.0,2.0,Animação,Japão,1017.0,DRAGON BALL SUPER: SUPER HERO,2023-11-10,1018.0,145.0,1450.0,Sony Pictures,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E2200354500000,2022,6452119.95,56.0,15635.0,551.0,51.0,173.0,305.0,27.0,2022-12-28,369766.0,9.0,Animação,Japão,504.0,ONE PIECE FILM: RED,2022-11-03,1278.0,369766.0,6452119.95,Diamond Films,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E2300055900000,2023,3170677.74,28.0,6179.0,373.0,36.0,96.0,186.0,27.0,2023-04-26,155557.0,4.0,Animação,Japão,491.0,DEMON SLAYER: TO THE SWORDSMITH VILLAGE,2023-03-30,720.0,155557.0,3165687.74,Cinecolor,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E2300055900000,2024,3170677.74,19.0,24.0,361.0,0.0,1.0,1.0,1.0,2024-03-13,152473.0,,,,,DEMON SLAYER: TO THE SWORDSMITH VILLAGE,2024-02-23,491.0,373.0,4990.0,,Ancine - Painel OCA // Ancine - dados.gov.br
E2300084000000,2023,963275.03,48.0,3783.0,207.0,32.0,65.0,111.0,25.0,2023-12-26,46430.0,8.0,Animação,Japão,274.0,SUZUME,2023-04-13,371.0,46430.0,963275.03,Sony Pictures,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E2300174500000,2023,40198.63,14.0,388.0,37.0,10.0,16.0,22.0,13.0,2023-06-07,2029.0,2.0,Animação,Japão,37.0,SWORD ART ONLINE PROGRESSIVE: SCHERZO DO CREPÚSCULO SOMBRIO,2023-05-25,42.0,2029.0,40198.63,Sony Pictures,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E2300261000000,2023,122331.21,38.0,558.0,96.0,11.0,15.0,45.0,22.0,2023-12-03,5113.0,8.0,Animação,Japão,80.0,THE FIRST SLAM DUNK,2023-08-03,101.0,5113.0,122331.21,Cinecolor,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
