CPB/ROE,Ano,Bilheteria total,Dias no ano,Sessões no ano,Máx. complexos,Máx. grupos exibidores,Máx. exibidores,Máx. municípios,Máx. UFs,Última sessão registrada,Público total,Semanas em exibição,Gênero,Países,Salas na estreia,Título,Estreia,Máx. salas,Público no ano,Bilheteria no ano,Distribuidora,Fontes
E1500800700000,2016,,,11.0,6.0,1.0,5.0,6.0,6.0,2016-02-11,2387.0,4.0,Animação,Japão,6.0,,2016-01-09,6.0,767.0,10854.57,Califórnia,Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E1500800700000,2026,4880.9,4.0,38.0,38.0,4.0,13.0,35.0,12.0,2026-02-26,451.0,,,,,AS MEMÓRIAS DE MARNIE,2026-02-19,38.0,326.0,4880.9,,Ancine - Painel OCA // Ancine - dados.gov.br
E1500880200000,2014,,,,,,,,,,,7.0,Animação,Japão,375.0,,2014-09-11,375.0,513416.0,5734790.0,,Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB
E1500880200000,2015,,,,,,,,,,,1.0,Animação,Japão,375.0,,2014-09-11,1.0,100.0,332.26,,Ancine - Listagem de Filmes (2009-2024)
E1500880200000,2023,120.0,4.0,4.0,1.0,,,,,,8.0,,,,,SAINT SEYA - LEGENDS OF SANCTUARY,,1.0,8.0,120.0,,Ancine - Painel OCA
E1600232900000,2013,,,,,,,,,,,11.0,Animação,Japão,289.0,,2013-10-11,289.0,400987.0,3745760.0,,Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB
E1600232900000,2014,,,23.0,2.0,2.0,2.0,2.0,2.0,2014-10-29,319.0,2.0,Animação,Japão,289.0,,2014-01-01,3.0,319.0,1089.59,Diamond Films,Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E1600584200000,2010,,,,,,,,,,,21.0,Animação,Japão,30.0,,2010-07-30,42.0,37036.0,294874.72000000003,,Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB
E1600584200000,2011,,,,,,,,,,,8.0,Animação,Japão,30.0,,2010-07-30,1.0,1965.0,3980.0,,Ancine - Listagem de Filmes (2009-2024)
E1600584200000,2012,,,,,,,,,,,7.0,Animação,Japão,30.0,,2010-07-30,3.0,710.0,3491.0,,Ancine - Listagem de Filmes (2009-2024)
E1600584200000,2025,52284.0,9.0,46.0,36.0,2.0,12.0,33.0,16.0,2025-10-12,3983.0,,,,,PONYO UMA AMIZADE QUE VEIO DO MAR,2025-09-18,37.0,2929.0,52284.0,,Ancine - Painel OCA // Ancine - dados.gov.br
E1600584200000,2026,70188.3,7.0,61.0,34.0,4.0,9.0,29.0,10.0,2026-03-01,4123.0,,,,,PONYO UMA AMIZADE QUE VEIO DO MAR,2026-02-21,34.0,1194.0,17904.3,,Ancine - Painel OCA // Ancine - dados.gov.br
E1600638600000,2010,,,,,,,,,,,2.0,Animação,Japão,45.0,,2010-12-25,70.0,20987.0,161992.37,,Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB
E1600638600000,2011,,,,,,,,,,,8.0,Animação,Japão,45.0,,2010-12-25,69.0,14135.0,100173.07,,Ancine - Listagem de Filmes (2009-2024)
E1600638600000,2014,,,12.0,0.0,0.0,0.0,0.0,0.0,2014-07-02,107.0,2.0,Animação,Japão,45.0,,2014-06-19,1.0,107.0,408.0,PlayArte,Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E1700054900000,2017,,,44.0,42.0,1.0,2.0,30.0,17.0,2017-03-14,4017.0,2.0,Animação,"Japão, Reino Unido",1.0,,2017-03-08,44.0,4017.0,73990.99,Cinemark,Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
E1700465900000,2017,,,771.0,20.0,3.0,10.0,13.0,10.0,2017-12-30,9790.0,6.0,Animação,Japão,18.0,,2017-11-23,40.0,8602.0,100088.78,Espaço Filmes,Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024) // Database Brasil - FilmeB
E1700465900000,2018,17774.24,21.0,111.0,9.0,1.0,5.0,7.0,6.0,2018-01-24,9790.0,4.0,Animação,Japão,18.0,POR QUE VIVEMOS,2018-01-01,13.0,1605.0,22622.0,Espaço Filmes,Ancine - Painel OCA // Ancine - dados.gov.br // Ancine - dados.gov.br // Ancine - Listagem de Filmes (2009-2024)
